category,term,words,n_pos,n_bg,lift,eur_pos_m,is_trap,example_record_id,context
fundamental_aging,tractable,1,3,0,19.31,0.78,False,reporter:1R21AG047931-01A1,ult brain this project seeks to establish Drosophila as a genetically tractable and quickly aging model system to study and manipulate cell cycle re-
fundamental_aging,itself,1,3,0,19.31,1.94,False,reporter:5R01AG056436-04,ying the genetics of aging A fundamental question is whether aging is itself causal of disease or if aging is the result of generalized accumulati
fundamental_aging,inflamm,1,3,0,19.31,0.26,False,reporter:5P60AA009803-26,
fundamental_aging,exhibit,1,3,0,19.31,0.58,False,reporter:1R36AG087309-01, A/C is required for maintaining subsynaptic myonuclei integrity NMJs exhibit structural and functional disruptions including a complete loss of in
fundamental_aging,stress resistance,2,3,0,19.31,0.75,False,reporter:1P01AG055369-01A1,"n dietary restriction, IGF reduction, and H2S expression, integrating stress resistance and fitness during aging"
fundamental_aging,interest,1,3,0,19.31,1.37,False,reporter:3P30AG068635-02S1,"ses and the overall functional decline in individuals, there is great interest in understanding its biological underpinnings"
fundamental_aging,dietary restriction,2,5,1,10.12,1.86,True,reporter:1R01AG052606-01A1,Effects of dietary restriction on age-related neurophysiological adaptations: from behavior to singl
fundamental_aging,stem cell,2,13,4,8.28,7.87,False,reporter:5R01GM100315-07,"Genes, cells, and pathways that regulate urochordate allogeneic stem cell competition and their mammalian homologues We tested for mammalian ge"
fundamental_aging,biological mechanisms,2,13,4,8.28,13.28,False,reporter:5R01AG061155-02, Alzheimer's Disease targeting aging is one such approach... Studying biological mechanisms and populations that delay aging may lead to the identification of mo
fundamental_aging,hematopoietic stem cells,3,4,1,8.28,1.18,False,reporter:1R21AG054894-01A1,CRISPR screen of microRNAs that regulate the regenertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated decli
fundamental_aging,underlying mechanisms,2,4,1,8.28,4.04,False,reporter:5R01AG070704-04,man primate longitudinal model identify early biomarkers/pathways and underlying mechanisms of ELA-related accelerated neural aging trajectories
fundamental_aging,memory deficits,2,3,1,6.44,1.02,False,swecris:2018-01609_VR,rgetting to adult aging and mood examine how such processes relate to memory deficits in adult aging and mood
fundamental_aging,extracellular matrix,2,3,1,6.44,0.43,False,reporter:5I01BX002145-03,
fundamental_aging,epigenetic mechanisms,2,3,1,6.44,1.28,False,reporter:5R01AG045036-04,Priming of Metabolism and Aging in Drosophila dissect the fundamental epigenetic mechanisms and physiological changes that underlie the effects of poor nutrition
fundamental_aging,molecular mechanisms,2,13,7,4.97,21.12,False,reporter:1R21AG054894-01A1,"ertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated decline in HSC function, we propose to investigate "
fundamental_aging,hematopoietic stem,2,4,2,4.97,1.18,False,reporter:1R21AG054894-01A1,CRISPR screen of microRNAs that regulate the regenertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated
fundamental_aging,immune system,2,4,2,4.97,2.6,False,swecris:2018-06156_VR,erstand the role of antiretroviral therapy in premature ageing of the immune system in HIV-infection unravel the physiological and molecular pathways tha
fundamental_aging,mechanisms underlying,2,9,5,4.77,4.35,False,cordis:659030,Molecular mechanisms underlying synaptic maintenance and rejuvenation I hypothesize that autophagy pl
fundamental_aging,stem cells,2,9,6,4.03,5.46,False,reporter:1R21AG054894-01A1,of microRNAs that regulate the regenertive potential of hematopoietic stem cells To gain insight into the molecular mechanisms of age-associated decli
fundamental_aging,hiv infection,2,3,2,3.86,3.22,False,swecris:2018-06156_VR,
fundamental_aging,cognitive performance,2,3,2,3.86,0.94,False,swecris:2018-01327_VR," the effects of brain iron accumulation on brain integrity, motor and cognitive performance as we age"
fundamental_aging,single cell,2,3,2,3.86,1.38,False,swecris:2025-01999_KI,
fundamental_aging,training program,2,3,2,3.86,0.86,False,reporter:2T32AG058503-06,
fundamental_aging,nervous system,2,3,2,3.86,0.85,False,reporter:5R01AG066768-04,
social_population_aging,housing,1,6,0,294.7,1.74,False,swecris:2023-02315_Formas,"being developing novel, accessible and scalable intermediate forms of housing to counteract unwanted social isolation and negative effects on the p"
social_population_aging,lives,1,4,0,204.02,2.48,False,cordis:643850,
social_population_aging,journal,1,3,0,158.68,0.27,False,swecris:2024-02201_Forte,"Äldre i Centrum – scientific supplement, journal and website Äldre i Centrum Vetenskapligt Supplement, ÄiCVS, is a new"
social_population_aging,social inequalities,2,3,0,158.68,4.8,False,swecris:2016-07206_Forte,"that must be filled by families or other agents, which might increase social inequalities."
social_population_aging,choices,1,3,0,158.68,3.42,False,swecris:2022-00521_VR,
social_population_aging,old age,2,6,9,15.51,4.02,False,swecris:2015-01360_Forte,Who lives alone during old age? Investigating the diverse conditions and prospects for healthy agein
