record_id,source,year,country,funder,amount,currency,amount_eur,title,rule_category,llm_category,llm_confidence,llm_quote,url
reporter:1F31EY030336-01,reporter,2019,US,National Eye Institute,33293,USD,28720.67,Exploring the link between mutant RNA expression and trinucleotide repeat disease,fundamental_aging,age_related_disease,0.86,FECD causes progressive blindness due to premature senescence and apoptosis in corneal endothelium.,https://reporter.nih.gov/project-details/1F31EY030336-01
reporter:5R35GM139532-02,reporter,2022,US,National Institute of General Medical Sciences,532915,USD,459726.54,Toward a mechanistic understanding of genetic interactions,ambiguous,ambiguous,0.65,rDNA copy number variation affects lifespan and fitness through epistasis,https://reporter.nih.gov/project-details/5R35GM139532-02
reporter:5R01CA268973-05,reporter,2025,US,National Cancer Institute,763464,USD,658612.84,HIV Genomic Aging Project in Oncology (HIV-GAP),fundamental_aging,fundamental_aging,0.78,"Biological aging can be quantified using genomic biomarkers, such as DNA methylation translated into epigenetic clocks and presence of age-related clonal hematopoiesis (ARCH).",https://reporter.nih.gov/project-details/5R01CA268973-05
reporter:1R01AG078797-01,reporter,2022,US,National Institute on Aging,747228,USD,644606.63,High-Throughput 3D Multiscale Mass Spectrometry Imaging for Understanding Neurochemical Heterogeneity in Alzheimer's Disease,age_related_disease,age_related_disease,0.96,Understanding Alzheimer’s disease (AD) and identifying effective interventions are among the most exciting scientific frontiers,https://reporter.nih.gov/project-details/1R01AG078797-01
reporter:1I01BX005717-01A1,reporter,2023,US,Veterans Affairs,,USD,,High Resolution Profiling of Senescent Cells in ALS Brain and Spinal Cord,fundamental_aging,fundamental_aging,0.75,neurons in ALS enter cellular senescence as part of a complicated stress response to avoid active degeneration and cell death,https://reporter.nih.gov/project-details/1I01BX005717-01A1
reporter:5R01DK132264-02,reporter,2023,US,National Institute of Diabetes and Digestive and Kidney Diseases,423660,USD,365476.19,Deciphering age-dependent beige adipocyte failure,fundamental_aging,fundamental_aging,0.9,"Our previous studies have linked cellular senescence, a state of cellular arrest, of bAPCs to the age-associated decline in beige adipose tissue.",https://reporter.nih.gov/project-details/5R01DK132264-02
reporter:3U01AG045844-08S1,reporter,2022,US,National Institute on Aging,291735,USD,251669.25,Caenorhabditis Intervention Testing Program - Buck Institute Compound Testing,fundamental_aging,intervention,0.95,test pharmacological interventions for their ability to extend healthy aging and promote longevity in nematodes,https://reporter.nih.gov/project-details/3U01AG045844-08S1
reporter:5R01HD100195-09,reporter,2023,US,Eunice Kennedy Shriver National Institute of Child Health and Human Development,494713,USD,426771.05,Molecular Signalling Pathways and Cellular Stress in Diabetic Embryopathy,fundamental_aging,ambiguous,0.8,Pregestational diabetes-induced neural tube defects (NTDs) remain a significant health problem.,https://reporter.nih.gov/project-details/5R01HD100195-09
reporter:1R01AG071173-01A1,reporter,2022,US,National Institute on Aging,811526,USD,700074.19,Biopsychosocial Mechanisms of Successful Aging,age_related_disease,fundamental_aging,0.85,the biobehavioral mechanisms that contribute to successful aging,https://reporter.nih.gov/project-details/1R01AG071173-01A1
reporter:5T32AG052374-02,reporter,2017,US,National Institute on Aging,328980,USD,283799.17,USC-Buck Geroscience Training Program in the Biology of Aging,fundamental_aging,fundamental_aging,0.9,USC-Buck Geroscience Training Program in the Biology of Aging,https://reporter.nih.gov/project-details/5T32AG052374-02
reporter:5R01AG047497-03,reporter,2017,US,National Institute on Aging,732674,USD,632051.41,Nutrient signaling and stem cell maintenance in aging epithelia,intervention,fundamental_aging,0.95,The age-related decline in regenerative capacity of many tissues constitutes a poorly understood problem that limits human healthspan.,https://reporter.nih.gov/project-details/5R01AG047497-03
reporter:5R01GM127688-05,reporter,2022,US,National Institute of General Medical Sciences,317531,USD,273922.53,Mechanisms of Chaperone-Mediated Control in the Assembly of the Proteasome Holoenzyme,age_related_disease,fundamental_aging,0.7,mechanisms that control the rate and quality of proteasome assembly,https://reporter.nih.gov/project-details/5R01GM127688-05
reporter:5R01HL051387-23,reporter,2019,US,National Heart Lung and Blood Institute,546166,USD,471157.69,PAI-1 and Vascular Senescence,fundamental_aging,fundamental_aging,0.92,There is compelling evidence that senescent cells accumulate in tissues and contribute to the aging.,https://reporter.nih.gov/project-details/5R01HL051387-23
reporter:5P30AG013846-23,reporter,2019,US,National Institute on Aging,1898738,USD,1637972.74,Boston University Alzheimer's Disease Center,age_related_disease,age_related_disease,0.91,research on brain aging and Alzheimer's disease (AD),https://reporter.nih.gov/project-details/5P30AG013846-23
reporter:1ZIAAG000313-15,reporter,2015,US,National Institute on Aging,800238,USD,690336.44,Apoptosis In Neurodegenerative Disorders,age_related_disease,age_related_disease,0.95,Apoptosis In Neurodegenerative Disorders,https://reporter.nih.gov/project-details/1ZIAAG000313-15
reporter:5K99AG046370-02,reporter,2015,US,National Institute on Aging,99139,USD,85523.64,Mechanisms through which protein restriction extends immunological healthspan,intervention,intervention,0.96,"Dietary restriction (DR), reduced nutritional uptake without causing malnutrition, has proven to be the most powerful intervention extending life span from yeast to humans.",https://reporter.nih.gov/project-details/5K99AG046370-02
reporter:1R13AG077867-01,reporter,2022,US,National Institute on Aging,50000,USD,43133.2,Biological Sciences Program at The Gerontological Society of America's 2022 Annual Scientific Meeting,ambiguous,fundamental_aging,0.8,basic researchers exchange information about health-related biology of aging,https://reporter.nih.gov/project-details/1R13AG077867-01
reporter:5R01AG053832-02,reporter,2017,US,National Institute on Aging,394229,USD,340087.13,Aging and Resiliency in Mice: Optimizing Assessment Protocols and Testing Interventions,fundamental_aging,fundamental_aging,0.86,Therapeutic interventions that target fundamental mechanisms of aging are being sought,https://reporter.nih.gov/project-details/5R01AG053832-02
reporter:5R01EB029523-03,reporter,2022,US,National Institute of Biomedical Imaging and Bioengineering,370578,USD,319684.27,High-resolution volumetric imaging of metabolic activity in tissues and its application to tumor metabolism,age_related_disease,age_related_disease,0.78,application to tumor metabolism,https://reporter.nih.gov/project-details/5R01EB029523-03
reporter:3R01AG065993-03S1,reporter,2022,US,National Institute on Aging,40203,USD,34681.68,"Mechanisms by which time-restricted feeding (TRF) delays the onset of age-related declines in health, cognition, and circadian rhythms",intervention,intervention,0.96,dietary interventions can support circadian clock function and promote healthy aging,https://reporter.nih.gov/project-details/3R01AG065993-03S1
reporter:1R01AR076159-01A1,reporter,2020,US,National Institute of Arthritis and Musculoskeletal and Skin Diseases,280691,USD,242141.99,Determining the Biological Mechanisms of Pathological Cortical Porosity,age_related_disease,age_related_disease,0.82,increased cortical porosity is associated with elevated fracture prevalence in patients with type 2 diabetes (T2D),https://reporter.nih.gov/project-details/1R01AR076159-01A1
reporter:5R01AG078361-04,reporter,2025,US,National Institute on Aging,1120261,USD,966408.73,Genetically Informed Studies of Social Connectedness and Health,fundamental_aging,ambiguous,0.85,"examine a series of unanswered questions around social relationships, health, and cognitive functioning",https://reporter.nih.gov/project-details/5R01AG078361-04
reporter:5P30AI036214-26,reporter,2020,US,National Institute of Allergy and Infectious Diseases,32593,USD,28116.8,SWG: HIV and Aging,ambiguous,ambiguous,0.75,to investigate aging-related issues in people living with HIV,https://reporter.nih.gov/project-details/5P30AI036214-26
reporter:5R01HD030588-27,reporter,2021,US,Eunice Kennedy Shriver National Institute of Child Health and Human Development,597666,USD,515584.89,"Developmental, Contextual, and Psychosocial Predictors of Weathering and Health among Rural African Americans in their Fourth Decade of Life",ambiguous,fundamental_aging,0.82,"biological weathering during emerging adulthood as evidenced by allostatic load, inflammatory activity, and epigenetic aging",https://reporter.nih.gov/project-details/5R01HD030588-27
reporter:5R01GM071011-16,reporter,2021,US,National Institute of General Medical Sciences,312625,USD,269690.3,Mechanisms of error prone repair of DNA breaks,fundamental_aging,ambiguous,0.9,Mechanisms of error prone repair of DNA breaks,https://reporter.nih.gov/project-details/5R01GM071011-16
reporter:4R01NS076853-05,reporter,2016,US,National Institute of Neurological Disorders and Stroke,309531,USD,267021.22,Elucidating the cellular mechanisms of prion propagation and clearance for devisi,ambiguous,age_related_disease,0.78,Elucidating the cellular mechanisms of prion propagation and clearance for devising new targets for intervention in prion disease,https://reporter.nih.gov/project-details/4R01NS076853-05
reporter:5R01AG082541-03,reporter,2025,US,National Institute on Aging,628547,USD,542224.81,The role of CMV in HIV-associated accentuated aging,age_related_disease,fundamental_aging,0.86,Persistent cytomegalovirus (CMV) infection has been implicated in immune aging and age-related inflammation too,https://reporter.nih.gov/project-details/5R01AG082541-03
reporter:5K00AG073499-04,reporter,2024,US,National Institute on Aging,75046,USD,64739.48,A novel method to identify regulators of biological aging  based on high-throughput sequencing of epigenetic clocks.,fundamental_aging,fundamental_aging,0.96,Epigenetic clocks based on DNA cytosine methylation (DNAme) are currently the most robust biomarkers of aging in mammals.,https://reporter.nih.gov/project-details/5K00AG073499-04
reporter:5P30CA093373-16,reporter,2018,US,National Cancer Institute,2882980,USD,2487042.79,Cancer Center Support Grant P30,age_related_disease,age_related_disease,0.95,"With a rapidly aging population, 40 million Americans over the age of 65 are alive today and 390,000 will die from cancer this year.",https://reporter.nih.gov/project-details/5P30CA093373-16
reporter:5R03HD098469-02,reporter,2020,US,Eunice Kennedy Shriver National Institute of Child Health and Human Development,79000,USD,68150.45,Static state of epithelial mesenchymal transition in fetal membrane cells: a novel inflammatory pathway to parturition,fundamental_aging,fundamental_aging,0.75,A progressive p38 mitogen-activated protein kinase (MAPK)-mediated senescence (mechanism of aging) occurs in fetal membranes.,https://reporter.nih.gov/project-details/5R03HD098469-02
reporter:1ZIADK075200-01,reporter,2025,US,National Institute of Diabetes and Digestive and Kidney Diseases,1115217,USD,962057.45,Youth-onset Type 2 Diabetes and Heart Disease,age_related_disease,age_related_disease,0.95,This study will evaluate the pathophysiological features of cardiovascular disease in youth-onset type 2 diabetes (Y-T2DM),https://reporter.nih.gov/project-details/1ZIADK075200-01
reporter:1R21AG050054-01A1,reporter,2015,US,National Institute on Aging,226500,USD,195393.37,Environmentally driven metabolic dysregulation as a model of accelerated aging,age_related_disease,fundamental_aging,0.92,Disrupted metabolic function is a hallmark of aging,https://reporter.nih.gov/project-details/1R21AG050054-01A1
reporter:1R21AG049182-01,reporter,2015,US,National Institute on Aging,198750,USD,171454.45,Senescent Cell Transplantation Model,fundamental_aging,fundamental_aging,0.9,A key mechanism that likely contributes to both age-related dysfunction and these chronic diseases is cellular senescence.,https://reporter.nih.gov/project-details/1R21AG049182-01
reporter:5P30AG017265-17,reporter,2016,US,National Institute on Aging,310826,USD,268138.37,Administrative and Research Support Core (ARC),ambiguous,ambiguous,0.75,The Administrative and Research Support Core (ARC) is responsible for initiating and coordinating all activities,https://reporter.nih.gov/project-details/5P30AG017265-17
reporter:5R01GM141631-03,reporter,2025,US,National Institute of General Medical Sciences,310000,USD,267425.81,Repair of DNA ends with adducts,age_related_disease,ambiguous,0.72,Repair of DNA ends with adducts,https://reporter.nih.gov/project-details/5R01GM141631-03
reporter:5K99AG062787-02,reporter,2020,US,National Institute on Aging,129169,USD,111429.43,"Genome-wide analysis of late-onset Alzheimer's disease using intergenerational, multi-trait, and cross-ancestry data",age_related_disease,age_related_disease,0.98,This research plan proposes alternate data sources and new methods to increase the statistical power in genetic studies of LOAD.,https://reporter.nih.gov/project-details/5K99AG062787-02
reporter:3R01CA096985-15S1,reporter,2017,US,National Cancer Institute,112741,USD,97257.59,BubRI in Cancer and Aging,age_related_disease,fundamental_aging,0.86,"BubR1, a core mitotic checkpoint component that regulates proper chromosome segregation, has emerged as a key determinant of both cancer and aging.",https://reporter.nih.gov/project-details/3R01CA096985-15S1
reporter:5R01ES033883-02,reporter,2023,US,National Institute of Environmental Health Sciences,616239,USD,531607.14,Impact of Metals on Biological Aging and Cardiometabolic Traits in Adolescents,fundamental_aging,fundamental_aging,0.78,"environmental factors eliciting biological aging, such as alterations to DNA methylation and telomere length",https://reporter.nih.gov/project-details/5R01ES033883-02
reporter:5R01DK114050-02,reporter,2018,US,National Institute of Diabetes and Digestive and Kidney Diseases,371806,USD,320743.62,Epigenetic Control of Nephron Progenitor Cell Lifespan,age_related_disease,fundamental_aging,0.78,intrinsic age-associated chromatin state transitions in Young and Old NPC,https://reporter.nih.gov/project-details/5R01DK114050-02
reporter:5R01MD013299-02,reporter,2019,US,National Institute on Minority Health and Health Disparities,716795,USD,618353.17,Racial inequalities in health throughout adulthood: The cumulative impact of neighborhood chemical and non-chemical stressors on epigenomic pathways,age_related_disease,fundamental_aging,0.7,"shared biological mechanisms within the body that drive many of these diseases – and one such mechanism may be changes to our genomic structure, called epigenomics.",https://reporter.nih.gov/project-details/5R01MD013299-02
reporter:1I01BX005360-01,reporter,2021,US,Veterans Affairs,,USD,,A Self-Delivery siRNA for Promoting Regenerative Healing in the Eye,ambiguous,age_related_disease,0.95,aging veterans have a significant increase in age-related glaucoma,https://reporter.nih.gov/project-details/1I01BX005360-01
reporter:5R21AG067334-02,reporter,2021,US,National Institute on Aging,188125,USD,162288.65,"Neural Aging and A Toxicity Assessments, a Fly Pharmacology-Molecular AD Model",fundamental_aging,age_related_disease,0.78,geroscience based approach to study AD and potential therapies,https://reporter.nih.gov/project-details/5R21AG067334-02
reporter:5R01AG068293-04,reporter,2023,US,National Institute on Aging,387375,USD,334174.43,High Resolution Profiling of Senescent Neurons and Their Microenvironments in Postmortem Human Brain Tissue Spanning Eight Decades of Life,fundamental_aging,fundamental_aging,0.86,"a fundamental cellular aging stress response, cellular senescence, as a pathogenic process driving neurodegeneration in tauopathies",https://reporter.nih.gov/project-details/5R01AG068293-04
reporter:5R01GM120094-02,reporter,2017,US,National Institute of General Medical Sciences,304881,USD,263009.83,Telomeric Protein Function and Regulation,age_related_disease,fundamental_aging,0.75,understanding how telomerase function is tightly regulated in cells bears major implications for the biology of aging,https://reporter.nih.gov/project-details/5R01GM120094-02
reporter:5R01AG069781-05,reporter,2024,US,National Institute on Aging,385500,USD,332556.94,Ketogenic oscillations and neurometabolic healthspan,intervention,intervention,0.86,"test various diet and exercise modalities that can improve metabolic health, preserve cognition, and expand health span",https://reporter.nih.gov/project-details/5R01AG069781-05
reporter:1K01AG078442-01A1,reporter,2023,US,National Institute on Aging,125930,USD,108635.27,Roles of autophagy in microglial senescence and Parkinson's disease,fundamental_aging,fundamental_aging,0.85,elucidate whether and how microglia become senescent in PD and to characterize the molecular signature of senescent microglia,https://reporter.nih.gov/project-details/1K01AG078442-01A1
reporter:5I01BX002678-05,reporter,2019,US,Veterans Affairs,,USD,,Tead1 - A Regulator of Quiescence and Proliferation in Pancreatic Beta Cells,fundamental_aging,age_related_disease,0.91,Diabetes is one of the leading causes of morbidity and mortality in the veteran population.,https://reporter.nih.gov/project-details/5I01BX002678-05
reporter:5R01AG077742-04,reporter,2025,US,National Institute on Aging,759474,USD,655170.81,"Antecedents of Adult Physical Health and Cognitive Risks for Alzheimer's Disease and Related Dementias (ADRD) in Adolescent Family Experiences: A Prospective, Longitudinal Adoption Study",age_related_disease,age_related_disease,0.93,Cognitive Risks for Alzheimer's Disease and Related Dementias (ADRD),https://reporter.nih.gov/project-details/5R01AG077742-04
reporter:5R01AG071513-03,reporter,2024,US,National Institute on Aging,1,USD,0.86,Investigating tau and ApoE4-mediated alterations in oligodendrocyte progenitor cells,fundamental_aging,age_related_disease,0.95,"As the most common cause of dementia, Alzheimer's disease (AD) is pathologically defined by amyloid beta (Aβ) deposition in senile plaques and tau aggregation",https://reporter.nih.gov/project-details/5R01AG071513-03
reporter:1ZICDC000081-11,reporter,2022,US,National Institute on Deafness and Other Communication Disorders,3599392,USD,3105065.56,Advanced Imaging Core,age_related_disease,ambiguous,0.95,This core is dedicated primarily to collaborating with and training scientists in NIDCD in studies utilizing transmission electron microscopy (TEM).,https://reporter.nih.gov/project-details/1ZICDC000081-11
reporter:5K99AG078440-02,reporter,2023,US,National Institute on Aging,130518,USD,112593.17,Social Mechanisms Underlying Sex/Gender Inequalities in Alzheimers Disease: An Intersectionality Approach,age_related_disease,age_related_disease,0.95,Alzheimer’s disease (AD) is a major public health burden that disproportionately affects women.,https://reporter.nih.gov/project-details/5K99AG078440-02
reporter:1R01HL175681-01,reporter,2024,US,National Heart Lung and Blood Institute,324440,USD,279882.68,Epigenetic biomarkers of cardiovascular risk in African American Women,age_related_disease,age_related_disease,0.95,The main goal of this project is to assess the contribution of epigenetics to cardiovascular risk in African American women.,https://reporter.nih.gov/project-details/1R01HL175681-01
reporter:5K24AG088484-02,reporter,2025,US,National Institute on Aging,198554,USD,171285.37,AI-Driven Frailty Assessment and Molecular Correlation: A Multimodal Mentorship Initiative,age_related_disease,fundamental_aging,0.72,connects molecular changes associated with aging to physical and cognitive declines observed in older adults,https://reporter.nih.gov/project-details/5K24AG088484-02
reporter:1R01AG056535-01,reporter,2017,US,National Institute on Aging,511533,USD,441281.06,Dopaminergic and Neuroplastic Influences on Longitudinal Change in Cognitive and Brain Aging,age_related_disease,fundamental_aging,0.9,to help uncover biological mechanisms in individual differences in brain and cognitive aging,https://reporter.nih.gov/project-details/1R01AG056535-01
reporter:1R01AG068860-01,reporter,2020,US,National Institute on Aging,579640,USD,500034.51,Reciprocal Modulation of the Microbiome and Cellular Senescence in Metabolic Dysfunction,fundamental_aging,fundamental_aging,0.94,The major goal of this proposed study is to elucidate the causal connection of cellular senescence and the microbiome in older mice under metabolic stress.,https://reporter.nih.gov/project-details/1R01AG068860-01
reporter:5R01AG052606-06,reporter,2020,US,National Institute on Aging,357725,USD,308596.45,Effects of dietary restriction on age-related neurophysiological adaptations: frombehavior to single dopaminergic neurons,intervention,fundamental_aging,0.82,comprehensive investigation into the effects of aging on ion channel physiology in these neurons is now possible,https://reporter.nih.gov/project-details/5R01AG052606-06
reporter:1R01AG063854-01A1,reporter,2020,US,National Institute on Aging,360800,USD,311249.14,Defining the Role of Adipogenesis in Age-Associated Adiposity,fundamental_aging,fundamental_aging,0.9,"The goal of this R01 proposal is to determine when, where, and why does adipogenesis take place during aging.",https://reporter.nih.gov/project-details/1R01AG063854-01A1
reporter:5R21OD031970-02,reporter,2023,US,NIH Office of the Director,185625,USD,160131.99,mtDNA depleter mouse for decoding mitochondrial regulation of diverse organs,age_related_disease,fundamental_aging,0.65,a general decline in mitochondrial function is extensively reported during aging and is known to be a driving force underlying age-related human diseases,https://reporter.nih.gov/project-details/5R21OD031970-02
reporter:5R01DC008149-10,reporter,2017,US,National Institute on Deafness and Other Communication Disorders,537426,USD,463618.01,Lingual and Laryngeal Muscle Plasticity,ambiguous,fundamental_aging,0.75,Aging allows examination of naturally occurring muscular plasticity and how to intervene towards prevention or reversal of suboptimal sensorimotor changes throughout the adult lifespan.,https://reporter.nih.gov/project-details/5R01DC008149-10
reporter:5P20GM130460-05,reporter,2024,US,National Institute of General Medical Sciences,183125,USD,157975.33,Elucidating Molecular Mechanisms of Gating Regulation and Subunit Modulation of N-glycosylation on Ion Channels by Using Molecular Dynamics Simulations,ambiguous,fundamental_aging,0.86,advanced glycation end products (AGEs) and their receptor (RAGE) contributes to the onset of these behavioral impairments throughout an animals lifespan to negatively impact healthspan,https://reporter.nih.gov/project-details/5P20GM130460-05
reporter:5R35CA220526-05,reporter,2022,US,National Cancer Institute,855902,USD,738355.76,Functions and Activities of p53 and Mdm2 in Normal and Cancer Cells,fundamental_aging,age_related_disease,0.96,"The p53 protein, a major suppressor of cancer in animals and humans, is a DNA sequence specific regulator of transcription of hundreds of genes",https://reporter.nih.gov/project-details/5R35CA220526-05
reporter:1P01AG071746-01A1,reporter,2022,US,National Institute on Aging,309093,USD,266643.37,Hormones & Behavior Core,age_related_disease,fundamental_aging,0.76,investigate possible mechanistic determinants of reduced estradiol efficacy on female cognitive aging under pathological conditions,https://reporter.nih.gov/project-details/1P01AG071746-01A1
reporter:5K01AG059841-03,reporter,2021,US,National Institute on Aging,123741,USD,106746.89,Role of HDAC2 as a modulator of aging and Alzheimer's disease phenotypes in stem-cell derived neurons,age_related_disease,fundamental_aging,0.78,test the overarching hypothesis that HDAC2 is a driver of cellular age in human neurons and contributes to AD-relevant phenotypes,https://reporter.nih.gov/project-details/5K01AG059841-03
reporter:5R03DK132121-02,reporter,2023,US,National Institute of Diabetes and Digestive and Kidney Diseases,119250,USD,102872.67,"Impact of abnormal steroid metabolome on cellular senescence, frailty and cognition",fundamental_aging,fundamental_aging,0.85,"understand the link between the abnormal steroid signature and cognitive function, overall frailty, and biomarkers of cellular senescence",https://reporter.nih.gov/project-details/5R03DK132121-02
reporter:5U01AG088407-02,reporter,2025,US,National Institute on Aging,1452584,USD,1253091.79,"The impact of metals and polygenic risk on multiomics, brain aging, and ADRD outcomes",age_related_disease,age_related_disease,0.95,"molecular, pathologic, and behavioral changes linked to Alzheimer’s Disease and Related Dementias (ADRD)",https://reporter.nih.gov/project-details/5U01AG088407-02
reporter:5K01AG076967-02,reporter,2023,US,National Institute on Aging,130122,USD,112251.55,The START trial: a proof-of-concept sedentary reduction program for prefrail older adults,age_related_disease,age_related_disease,0.92,Frailty is a syndromic state of vulnerability that puts adults aged ≥65 years at heightened risk of adverse health outcomes.,https://reporter.nih.gov/project-details/5K01AG076967-02
reporter:5U19AG057758-05,reporter,2022,US,National Institute on Aging,1177436,USD,1015731.54,`Core B:  Animal Core,fundamental_aging,fundamental_aging,0.86,programming-aging interactions are major determinants of life course health span,https://reporter.nih.gov/project-details/5U19AG057758-05
reporter:1R01AG079799-01A1,reporter,2023,US,National Institute on Aging,841971,USD,726337.99,Molecular mechanisms of aging and accelerated aging in the human brain,fundamental_aging,fundamental_aging,0.96,The overall objective of this proposal is to identify genes and regulators of gene expression that cause brain aging and accelerated brain aging in COVID-19 patients.,https://reporter.nih.gov/project-details/1R01AG079799-01A1
reporter:5R35ES028303-08,reporter,2024,US,National Institute of Environmental Health Sciences,506207,USD,436686.51,Mechanism of Eukaryotic Environmental Mutagenesis,age_related_disease,ambiguous,0.78,"Mutations from environmental exposure contribute to cancer, other human diseases, and aging.",https://reporter.nih.gov/project-details/5R35ES028303-08
reporter:5R01NS056218-10,reporter,2017,US,National Institute of Neurological Disorders and Stroke,361166,USD,311564.87,Effects of Radiation on Brain Microvasculature and Cognition,fundamental_aging,fundamental_aging,0.78,radiation-induced cellular senescence is a potential mechanism that contributes to vascular and cognitive dysfunction,https://reporter.nih.gov/project-details/5R01NS056218-10
reporter:1ZIAAG000239-12,reporter,2019,US,National Institute on Aging,505299,USD,435903.21,Effect of Metalloprotease Inhibition on Age-Associated Arterial Remodeling,fundamental_aging,age_related_disease,0.82,We tested whether an inhibition of MMP activation can decelerate adverse age-associated arterial remodeling leading to an increase in arterial pressure.,https://reporter.nih.gov/project-details/1ZIAAG000239-12
reporter:5IK6BX005234-05,reporter,2024,US,Veterans Affairs,,USD,,BLR&D Research Career Scientist Award Application,age_related_disease,age_related_disease,0.75,"study the effect of oxidative stress and mitochondrial dysfunction in age-related conditions such as sarcopenia and frailty, and in the neurodegenerative disease, Amyotrophic Lateral Sclerosis (ALS)",https://reporter.nih.gov/project-details/5IK6BX005234-05
reporter:1ZIAHL006102-05,reporter,2015,US,National Heart Lung and Blood Institute,1045739,USD,902121.29,"RNA: Structure, Biophysics and Physiology",fundamental_aging,ambiguous,0.78,telomerase (a key player in cellular senescence and immortalization),https://reporter.nih.gov/project-details/1ZIAHL006102-05
reporter:1F31HD098825-01,reporter,2019,US,Eunice Kennedy Shriver National Institute of Child Health and Human Development,45016,USD,38833.68,The impact of parent training on at-risk children's biomarkers of aging,fundamental_aging,fundamental_aging,0.89,"measured using two biomarkers of accelerated aging (i.e., telomere length and the epigenetic clock)",https://reporter.nih.gov/project-details/1F31HD098825-01
reporter:7R35ES031688-04,reporter,2024,US,National Institute of Environmental Health Sciences,826656,USD,713126.29,Extracellular vesicles in Environmental Epidemiology Studies of Aging,age_related_disease,age_related_disease,0.75,effects of air pollution on accelerated brain aging,https://reporter.nih.gov/project-details/7R35ES031688-04
reporter:1K01AG061236-01A1,reporter,2019,US,National Institute on Aging,124932,USD,107774.33,Beneficial effects of Sestrin protein for muscle health during aging and exercise,ambiguous,fundamental_aging,0.9,Excessive ROS accumulation and chronic mTORC1 activation are known as promoters of tissue aging and degeneration.,https://reporter.nih.gov/project-details/1K01AG061236-01A1
reporter:1ZIAES021164-20,reporter,2016,US,National Institute of Environmental Health Sciences,822138,USD,709228.78,Environmentally Induced Alterations In Neuron And Glia Development and Aging,ambiguous,fundamental_aging,0.72,"process by which the microglia can be altered as a function of development, aging, and in disease states such as schizophrenia",https://reporter.nih.gov/project-details/1ZIAES021164-20
